fr24_id,flight,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,queried_timestamp
3ba83772,W62372,WZZ901,47.29018,19.48129,6,3500,241,-512,1000,2025-08-09T21:59:59Z,ADSB,471DBD,A21N,HA-LGV,WZZ,WZZ,MAD,LEMD,BUD,LHBP,2025-08-09T22:03:34Z,1754776800
3ba8964d,OS25,AUA25,47.44107,19.26315,115,26575,519,896,7120,2025-08-09T22:09:59Z,ADSB,4408FB,B772,OE-LPF,AUA,AUA,VIE,LOWW,BKK,VTBS,2025-08-10T07:42:56Z,1754777400
3ba8740d,TK6370,THY6370,47.24447,19.5127,134,37000,509,0,0161,2025-08-09T22:09:59Z,ADSB,4BB14E,B77L,TC-LJN,THY,THY,AMS,EHAM,IST,LTFM,2025-08-09T23:32:16Z,1754777400
3ba8457f,W61252,WZZ92NU,47.52285,19.38531,342,35950,425,0,6001,2025-08-09T22:09:59Z,ADSB,471FAA,A21N,HA-LZU,WZZ,WZZ,LCA,LCLK,KTW,EPKT,2025-08-09T22:47:28Z,1754777400
3ba86c47,JP270,JTD270,47.35281,19.41525,337,38000,434,0,6002,2025-08-09T22:19:59Z,ADSB,45AB4A,B738,OY-JZJ,JTD,JTD,RHO,LGRP,CPH,EKCH,2025-08-09T23:42:56Z,1754778000
3ba870c7,DY9061,NOZ9061,47.24824,19.512,342,36000,445,-64,4530,2025-08-09T22:29:59Z,ADSB,47878C,B738,LN-DYY,NOZ,NOZ,RHO,LGRP,OSL,ENGM,2025-08-10T00:25:36Z,1754778600
3ba86924,FR7892,RYR7892,47.40051,19.33009,312,850,162,-832,2244,2025-08-09T22:39:59Z,ADSB,48C224,B738,SP-RSE,RYR,RYS,EDI,EGPH,BUD,LHBP,2025-08-09T22:41:41Z,1754779200
3ba86ca8,BA870,BAW870,47.33022,19.54637,223,3875,224,-832,2253,2025-08-09T22:39:59Z,ADSB,400879,A319,G-EUPJ,BAW,BAW,LHR,EGLL,BUD,LHBP,2025-08-09T22:43:19Z,1754779200
3ba87eb8,SK7846,SAS7846,47.35126,19.46475,342,36000,432,-64,4241,2025-08-09T22:49:59Z,ADSB,4CAE75,A20N,EI-SIW,SAS,SZS,CHQ,LGSA,GOT,ESGG,2025-08-10T00:27:44Z,1754779800
3ba880e2,7O5443,TVL5443,47.40303,19.32594,312,750,156,-640,6173,2025-08-09T22:59:59Z,ADSB,49D2B7,B738,OK-TVW,TVS,TVS,DJE,DTTJ,BUD,LHBP,2025-08-09T23:00:54Z,1754780400
3ba880f0,SQ321,SIA321,47.2928,19.41593,121,29000,538,0,7501,2025-08-09T22:59:59Z,ADSB,76CEF7,B77W,9V-SWW,SIA,SIA,LHR,EGLL,SIN,WSSS,2025-08-10T10:08:00Z,1754780400
3ba88f02,FR2516,RYR57RU,47.28035,19.31692,133,5750,277,-640,0502,2025-08-09T23:09:59Z,ADSB,48C133,B738,SP-RKU,RYR,RYS,STN,EGSS,BUD,LHBP,2025-08-09T23:16:41Z,1754781000
3ba8be2b,,WZZ402,47.39241,19.46714,44,7650,287,4288,4244,2025-08-09T23:09:59Z,ADSB,471EFE,A321,HA-LTE,WZZ,WZZ,BUD,LHBP,KTW,EPKT,2025-08-09T23:51:03Z,1754781000
3ba88c9a,,AOJ22S,47.34407,19.42101,312,2425,185,-448,6462,2025-08-09T23:39:58Z,ADSB,4400E9,C25M,OE-FPJ,AOJ,AOJ,JMK,LGMK,BUD,LHBP,2025-08-09T23:43:32Z,1754782800
3ba8afd5,AMQ6019,AMQ6019,47.51161,19.23349,342,34025,452,-64,4505,2025-08-09T23:39:59Z,ADSB,45213D,A320,LZ-EAH,EAF,EAF,CFU,LGKR,KTW,EPKT,2025-08-10T00:17:04Z,1754782800
3ba8a193,DY9465,NOZ9465,47.32133,19.47848,342,34000,443,0,1332,2025-08-09T23:49:59Z,ADSB,47875A,B738,LN-DYT,NOZ,NOZ,RHO,LGRP,TRD,ENVA,2025-08-10T02:08:00Z,1754783400
3ba8abde,KL1371,KLM85P,47.33446,19.43667,314,2525,233,-320,1000,2025-08-09T23:49:58Z,ADSB,484B8F,B737,PH-BGH,KLM,KLM,AMS,EHAM,BUD,LHBP,2025-08-09T23:52:53Z,1754783400
3ba879c3,SN2900,BEL7WC,47.2291,18.98162,296,36000,436,0,3224,2025-08-09T23:59:59Z,MLAT,44CC43,A20N,OO-SBC,BEL,BEL,EVN,UDYZ,BRU,EBBR,2025-08-10T01:33:52Z,1754784000
3ba86db8,W62358,WZZ2358,47.35,19.41143,312,2225,179,-896,7675,2025-08-10T00:09:59Z,ADSB,4D2490,A21N,9H-WDJ,WZZ,WMT,KEF,BIKF,BUD,LHBP,2025-08-10T00:11:17Z,1754784600
3ba8d387,,WMT404,47.27271,19.53932,307,3475,249,-640,1000,2025-08-10T00:09:59Z,ADSB,4D20BD,A21N,9H-WMI,WZZ,WMT,CRA,LRCV,BUD,LHBP,2025-08-10T00:13:31Z,1754784600
3ba8ee60,RR3129,RYS3129,47.39912,19.22326,153,37000,462,0,2641,2025-08-10T00:59:59Z,ADSB,48C22F,B738,SP-RSP,RYR,RYS,WRO,EPWR,HER,LGIR,2025-08-10T02:54:56Z,1754787600
3ba8a74e,W62308,WZZ39WN,47.40763,19.31854,312,700,136,-704,6012,2025-08-10T00:59:59Z,ADSB,471DB6,A21N,HA-LGO,WZZ,WZZ,SPX,HESX,BUD,LHBP,2025-08-10T01:00:51Z,1754787600
3ba8df22,,FCA2MA,47.61582,19.2234,136,14275,373,-2752,7670,2025-08-10T01:09:58Z,ADSB,470BC8,E55P,HA-EMA,FCA,FCA,CPH,EKCH,BUD,LHBP,2025-08-10T01:27:09Z,1754788200
3ba9004e,4M632,MGH632,47.29376,19.48844,135,35025,494,0,7627,2025-08-10T02:09:59Z,ADSB,5084D1,B753,UR-SLE,UTN,UTN,HAJ,EDDV,AYT,LTAI,2025-08-10T04:07:28Z,1754791800
3ba6e6df,NH203,ANA203,47.33506,19.20459,304,37975,466,0,3212,2025-08-10T02:59:59Z,ADSB,873356,B789,JA934A,ANA,AJX,HND,RJTT,FRA,EDDF,2025-08-10T04:18:08Z,1754794800
3ba85df2,BA142,BAW142,47.38073,18.94006,290,40000,446,-64,3237,2025-08-10T03:09:59Z,MLAT,40688F,B788,G-ZBJB,BAW,BAW,DEL,VIDP,LHR,EGLL,2025-08-10T05:09:20Z,1754795400
3ba94107,W62429,WZZ678,47.39456,19.36615,116,2550,216,1344,4207,2025-08-10T03:19:59Z,ADSB,4D24B3,A21N,9H-WDS,WZZ,WMT,BUD,LHBP,IST,LTFM,,1754796000
3ba91b83,OS778,AUA7PR,47.25304,19.19459,322,34000,439,0,2657,2025-08-10T03:29:59Z,ADSB,44006E,A320,OE-LBU,AUA,AUA,SKP,LWSK,VIE,LOWW,2025-08-10T03:54:40Z,1754796600
3ba93281,QS2624,TVS2624,47.54718,19.05167,131,37000,482,0,1416,2025-08-10T03:29:59Z,ADSB,49D420,B38M,OK-SWK,TVS,TVS,PRG,LKPR,AYT,LTAI,2025-08-10T05:37:04Z,1754796600
3ba7a645,SQ26,SIA26,47.26942,19.47194,301,36000,451,0,5331,2025-08-10T03:39:59Z,MLAT,76CEED,B77W,9V-SWM,SIA,SIA,SIN,WSSS,FRA,EDDF,2025-08-10T05:00:48Z,1754797200
3ba92f24,QS1190,TVS92M,47.47718,19.24044,132,35000,486,0,1470,2025-08-10T03:39:59Z,ADSB,49D5EF,BCS3,OK-FYC,TVS,TVS,PRG,LKPR,AYT,LTAI,2025-08-10T05:45:36Z,1754797200
3ba93d30,W43331,WMT276,47.45503,19.32591,279,36000,428,0,1000,2025-08-10T03:39:59Z,ADSB,471F5D,A320,HA-LWV,WZZ,WZZ,CLJ,LRCL,BVA,LFOB,2025-08-10T05:32:48Z,1754797200
3ba94165,W43351,WMT8XC,47.42015,19.48981,279,34000,412,0,1000,2025-08-10T03:49:59Z,ADSB,4D246F,A320,9H-WDA,WZZ,WMT,CLJ,LRCL,CRL,EBCI,2025-08-10T05:32:48Z,1754797800
3ba94e52,FR2301,RYR856Y,47.37575,19.02921,282,11375,336,2176,4250,2025-08-10T03:59:59Z,ADSB,4CA75E,B738,EI-EFC,RYR,RYR,BUD,LHBP,VLC,LEVC,2025-08-10T06:30:24Z,1754798400
3ba94fa2,FR1659,RYR843U,47.38802,19.43069,61,3825,239,1600,4247,2025-08-10T03:59:59Z,ADSB,48C2A7,B38M,SP-RZH,RYS,RYS,BUD,LHBP,STN,EGSS,,1754798400
3ba85c94,AI187,AIC187,47.36348,18.97952,298,31725,414,-896,5342,2025-08-10T04:09:59Z,MLAT,800582,B77W,VT-ALS,AIC,AIC,DEL,VIDP,VIE,LOWW,2025-08-10T04:35:12Z,1754799000
3ba95388,LH1683,DLH7KX,47.35778,19.0641,278,11075,342,1024,1000,2025-08-10T04:09:59Z,ADSB,3C66A9,A320,D-AIUI,DLH,DLH,BUD,LHBP,MUC,EDDM,2025-08-10T05:01:38Z,1754799000
3ba7f127,CZ649,CSN649,47.54106,19.07069,132,2800,210,-1408,6101,2025-08-10T04:09:59Z,MLAT,78188A,B789,B-20E8,CSN,CSN,CAN,ZGGG,BUD,LHBP,2025-08-10T04:12:40Z,1754799000
3ba95799,FR8385,RYR17MW,47.39914,19.35743,119,1800,224,1152,1000,2025-08-10T04:09:59Z,ADSB,48C228,B738,SP-RSI,RYR,RYS,BUD,LHBP,BCN,LEBL,,1754799000
3ba8b441,,RCH808,47.56231,19.41336,319,38000,420,-64,5404,2025-08-10T04:09:58Z,MLAT,AE2FA6,C17,08-8194,RCH,RCH,,,,,,1754799000
3ba957a4,W62291,WZZ513,47.34367,19.11016,283,12200,323,3328,4213,2025-08-10T04:20:00Z,ADSB,471FA2,A21N,HA-LZM,WZZ,WZZ,BUD,LHBP,DTM,EDLW,2025-08-10T05:43:37Z,1754799600
3ba95848,LH1343,DLH3UP,47.29971,19.27675,274,7800,278,3072,1000,2025-08-10T04:20:00Z,ADSB,3C6744,A320,D-AIZD,DLH,DLH,BUD,LHBP,FRA,EDDF,2025-08-10T05:44:47Z,1754799600
3ba959fc,FR1646,RYR8QN,47.3877,19.38812,118,2700,238,2368,4236,2025-08-10T04:20:00Z,ADSB,48C231,B738,SP-RSS,RYR,RYS,BUD,LHBP,LPL,EGGP,,1754799600
3ba93eae,3E771,3E771,47.49035,19.15319,133,1400,168,-896,1000,2025-08-10T04:19:59Z,MLAT,4D20DB,B734,9H-RUN,DAK,DAK,BOJ,LBBG,BUD,LHBP,2025-08-10T04:21:59Z,1754799600
3ba95ee9,W62467,WZZ62,47.5052,19.53225,3,9875,293,3072,1000,2025-08-10T04:29:59Z,ADSB,471FA7,A21N,HA-LZR,WZZ,WZZ,BUD,LHBP,WAW,EPWA,2025-08-10T05:17:52Z,1754800200
3ba963a1,FR4090,RYR78RZ,47.25188,19.25299,227,8800,276,2432,1000,2025-08-10T04:39:59Z,ADSB,48C2A0,B38M,SP-RZA,RYS,RYS,BUD,LHBP,NAP,LIRN,2025-08-10T05:56:16Z,1754800800
3ba95fe2,AF1695,AFR1695,47.34453,19.40412,204,3925,266,2752,1000,2025-08-10T04:39:58Z,ADSB,392AF8,A320,F-GKXY,AFR,AFR,BUD,LHBP,CDG,LFPG,2025-08-10T06:30:26Z,1754800800
3ba94c35,FR2102,RYR251U,47.46955,19.17586,298,34000,407,0,1000,2025-08-10T04:39:59Z,ADSB,4D2269,B738,9H-QAU,RYR,MAY,OTP,LROP,CRL,EBCI,2025-08-10T06:19:44Z,1754800800
3ba94532,W42334,WMT2334,47.50218,19.13413,132,1750,148,-704,1000,2025-08-10T04:39:59Z,ADSB,4D242B,A21N,9H-WAW,WZZ,WMT,MXP,LIMC,BUD,LHBP,2025-08-10T04:42:13Z,1754800800
3ba8d27f,QR189,QTR46P,47.37737,18.93177,285,31975,435,0,2356,2025-08-10T04:49:58Z,MLAT,06A153,A320,A7-AHY,QTR,QTR,DOH,OTHH,VIE,LOWW,2025-08-10T05:15:44Z,1754801400
3ba95778,,ENT73RH,47.4317,19.17642,153,37000,479,-64,4540,2025-08-10T04:49:58Z,ADSB,4892C9,B38M,SP-EXK,ENT,ENT,WRO,EPWR,HER,LGIR,2025-08-10T06:38:43Z,1754801400
3ba965f4,W62217,WZZ7QZ,47.61296,19.35729,318,12550,322,2304,4235,2025-08-10T04:49:58Z,ADSB,471F37,A21N,HA-LVJ,WZZ,WZZ,BUD,LHBP,BHX,EGBB,2025-08-10T07:06:56Z,1754801400
3ba95ed4,W43361,WMT715,47.30978,19.21605,291,34025,416,0,0540,2025-08-10T04:59:59Z,ADSB,4D24C5,A320,9H-WZT,WZZ,WMT,CLJ,LRCL,DTM,EDLW,2025-08-10T06:24:00Z,1754802000
